tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	fen	tag
36625	1044.0	44.99	60511.0	38.0	1.0	https://lichess.org/analysis/8/p4p1k/5np1/2q2P1p/P2bp1PQ/8/4B2P/3N1K2_w_-_-	Hanging Piece
30502	1289.0	45.27	64678.0	68.0	1.0	https://lichess.org/analysis/r3k3/p2p4/b3pB1b/2ppP1N1/3P4/8/PP1K1nPP/R3R3_b_q_-	Defense
34184	1180.0	45.48	63315.0	44.0	1.0	https://lichess.org/analysis/1r2nrk1/4qp2/R2p2p1/1BpP4/3bPBP1/3Q4/7P/5RK1_w_-_-	Exchange Sacrifice
50560	1203.0	46.17	65086.0	26.0	1.0	https://lichess.org/analysis/r3r1k1/ppp1qppp/1bn3b1/8/1P2nQP1/P2B1N1P/1BPN4/2KRR3_b_-_-	Hanging Piece
32194	1102.0	45.14	64215.0	32.0	1.0	https://lichess.org/analysis/r1bq1rk1/p1p2ppp/2p2n2/2bp2B1/4P3/2NB4/PPP2PPP/R2Q1RK1_b_-_-	Pin
28667	898.0	43.93	60754.0	22.0	1.0	https://lichess.org/analysis/r1b1k2r/p4pp1/2p4p/8/2nP2n1/2N3q1/PPPKB1PN/R1BQ3R_w_kq_-	Mate in 1
33690	1059.0	44.7	60315.0	54.0	2.0	https://lichess.org/analysis/4r2k/5p2/8/1p1q4/8/3p2R1/7K/3Q4_w_-_-	Mating Net
43513	1102.0	45.76	64197.0	42.0	1.0	https://lichess.org/analysis/6k1/2q1b1pp/1p2Rp2/1P1r4/2pP3P/2Q3P1/1B3P2/6K1_b_-_-	Decoy / Deflection
27804	1033.0	45.67	58190.0	43.0	1.0	https://lichess.org/analysis/r3k1r1/ppp2NPp/1bn1b3/5q2/2ppN3/8/PPP2PPP/R1BQR1K1_b_q_-	Fork / Double Attack
38410	929.0	44.4	61053.0	37.0	1.0	https://lichess.org/analysis/r2qkb1r/pp3pp1/2n1p3/3pn1Pp/3B3P/2N5/PPP2P2/R2QKB1R_w_KQkq_-	Fork / Double Attack
30578	932.0	45.65	64631.0	19.0	1.0	https://lichess.org/analysis/rnbk1R2/pppp2p1/4p1B1/4Pnq1/2PP4/8/PP3PP1/RN2K1N1_b_Q_-	Basic Checkmates
